Date,Season,Team,Opponent,HomeFlag,GF,GA,Manager,ManagerStart,ManagerEnd,MatchNumMgr,Window1,Window2,Window3
11/24/2019,2019/2020,Manchester Utd,Sheffield Utd,0,3,3,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,34,0,0,0
12/1/2019,2019/2020,Manchester Utd,Aston Villa,1,2,2,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,35,0,0,0
12/4/2019,2019/2020,Manchester Utd,Tottenham,1,2,1,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,36,0,0,0
12/7/2019,2019/2020,Manchester Utd,Manchester City,0,2,1,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,37,0,0,0
12/15/2019,2019/2020,Manchester Utd,Everton,1,1,1,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,38,0,0,0
12/22/2019,2019/2020,Manchester Utd,Watford,0,0,2,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,39,0,0,0
12/26/2019,2019/2020,Manchester Utd,Newcastle Utd,1,4,1,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,40,0,0,0
12/28/2019,2019/2020,Manchester Utd,Burnley,0,2,0,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,41,0,0,0
1/1/2020,2019/2020,Manchester Utd,Arsenal,0,0,2,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,42,0,0,0
1/11/2020,2019/2020,Manchester Utd,Norwich City,1,4,0,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,43,0,0,0
1/19/2020,2019/2020,Manchester Utd,Liverpool,0,0,2,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,44,0,0,0
1/22/2020,2019/2020,Manchester Utd,Burnley,1,0,2,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,45,0,0,0
2/1/2020,2019/2020,Manchester Utd,Wolves,1,0,0,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,46,0,0,0
2/17/2020,2019/2020,Manchester Utd,Chelsea,0,2,0,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,47,0,0,0
2/23/2020,2019/2020,Manchester Utd,Watford,1,3,0,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,48,0,0,0
3/1/2020,2019/2020,Manchester Utd,Everton,0,1,1,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,49,0,0,0
3/8/2020,2019/2020,Manchester Utd,Manchester City,1,2,0,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,50,0,0,0
6/19/2020,2019/2020,Manchester Utd,Tottenham,0,1,1,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,51,0,0,0
6/24/2020,2019/2020,Manchester Utd,Sheffield Utd,1,3,0,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,52,0,0,0
6/30/2020,2019/2020,Manchester Utd,Brighton,0,3,0,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,53,0,0,0
7/4/2020,2019/2020,Manchester Utd,Bournemouth,1,5,2,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,54,0,0,0
7/9/2020,2019/2020,Manchester Utd,Aston Villa,0,3,0,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,55,0,0,0
7/13/2020,2019/2020,Manchester Utd,Southampton,1,2,2,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,56,0,0,0
7/16/2020,2019/2020,Manchester Utd,Crystal Palace,0,2,0,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,57,0,0,0
7/22/2020,2019/2020,Manchester Utd,West Ham,1,1,1,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,58,0,0,0
7/26/2020,2019/2020,Manchester Utd,Leicester City,0,2,0,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,59,0,0,0
9/19/2020,2020/2021,Manchester Utd,Crystal Palace,1,1,3,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,60,0,0,0
9/26/2020,2020/2021,Manchester Utd,Brighton,0,3,2,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,61,0,0,0
10/4/2020,2020/2021,Manchester Utd,Tottenham,1,1,6,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,62,0,0,0
10/17/2020,2020/2021,Manchester Utd,Newcastle Utd,0,4,1,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,63,0,0,0
10/24/2020,2020/2021,Manchester Utd,Chelsea,1,0,0,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,64,0,0,0
11/1/2020,2020/2021,Manchester Utd,Arsenal,1,0,1,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,65,0,0,0
11/7/2020,2020/2021,Manchester Utd,Everton,0,3,1,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,66,0,0,0
11/21/2020,2020/2021,Manchester Utd,West Brom,1,1,0,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,67,0,0,0
11/29/2020,2020/2021,Manchester Utd,Southampton,0,3,2,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,68,0,0,0
12/5/2020,2020/2021,Manchester Utd,West Ham,0,3,1,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,69,0,0,0
12/12/2020,2020/2021,Manchester Utd,Manchester City,1,0,0,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,70,0,0,0
12/17/2020,2020/2021,Manchester Utd,Sheffield Utd,0,3,2,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,71,0,0,0
12/20/2020,2020/2021,Manchester Utd,Leeds United,1,6,2,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,72,0,0,0
12/26/2020,2020/2021,Manchester Utd,Leicester City,0,2,2,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,73,0,0,0
12/29/2020,2020/2021,Manchester Utd,Wolves,1,1,0,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,74,0,0,0
1/1/2021,2020/2021,Manchester Utd,Aston Villa,1,2,1,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,75,0,0,0
1/12/2021,2020/2021,Manchester Utd,Burnley,0,1,0,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,76,0,0,0
1/17/2021,2020/2021,Manchester Utd,Liverpool,0,0,0,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,77,0,0,0
1/20/2021,2020/2021,Manchester Utd,Fulham,0,2,1,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,78,0,0,0
1/27/2021,2020/2021,Manchester Utd,Sheffield Utd,1,1,2,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,79,0,0,0
1/30/2021,2020/2021,Manchester Utd,Arsenal,0,0,0,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,80,0,0,0
2/2/2021,2020/2021,Manchester Utd,Southampton,1,9,0,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,81,0,0,0
2/6/2021,2020/2021,Manchester Utd,Everton,1,3,3,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,82,0,0,0
2/14/2021,2020/2021,Manchester Utd,West Brom,0,1,1,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,83,0,0,0
2/21/2021,2020/2021,Manchester Utd,Newcastle Utd,1,3,1,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,84,0,0,0
2/28/2021,2020/2021,Manchester Utd,Chelsea,0,0,0,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,85,0,0,0
3/3/2021,2020/2021,Manchester Utd,Crystal Palace,0,0,0,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,86,0,0,0
3/7/2021,2020/2021,Manchester Utd,Manchester City,0,2,0,OLE GUNNAR SOLSKJAER,12/19/2018,1/1/2100,87,0,0,0
3/14/2021,2020/2021,Manchester Utd,West Ham,1,1,0,RALF RANGNICK,3/12/2021,1/1/2100,1,1,0,0
4/4/2021,2020/2021,Manchester Utd,Brighton,1,2,1,RALF RANGNICK,3/12/2021,1/1/2100,2,1,0,0
4/11/2021,2020/2021,Manchester Utd,Tottenham,0,3,1,RALF RANGNICK,3/12/2021,1/1/2100,3,1,0,0
4/18/2021,2020/2021,Manchester Utd,Burnley,1,3,1,RALF RANGNICK,3/12/2021,1/1/2100,4,0,1,0
4/25/2021,2020/2021,Manchester Utd,Leeds United,0,0,0,RALF RANGNICK,3/12/2021,1/1/2100,5,0,1,0
5/9/2021,2020/2021,Manchester Utd,Aston Villa,0,3,1,RALF RANGNICK,3/12/2021,1/1/2100,6,0,1,0
5/11/2021,2020/2021,Manchester Utd,Leicester City,1,1,2,RALF RANGNICK,3/12/2021,1/1/2100,7,0,0,1
5/13/2021,2020/2021,Manchester Utd,Liverpool,1,2,4,RALF RANGNICK,3/12/2021,1/1/2100,8,0,0,1
5/18/2021,2020/2021,Manchester Utd,Fulham,1,1,1,RALF RANGNICK,3/12/2021,1/1/2100,9,0,0,1
5/23/2021,2020/2021,Manchester Utd,Wolves,0,2,1,RALF RANGNICK,3/12/2021,1/1/2100,10,0,0,1
8/14/2021,2021/2022,Manchester Utd,Leeds United,1,5,1,RALF RANGNICK,3/12/2021,1/1/2100,11,0,0,0
8/22/2021,2021/2022,Manchester Utd,Southampton,0,1,1,RALF RANGNICK,3/12/2021,1/1/2100,12,0,0,0
8/29/2021,2021/2022,Manchester Utd,Wolves,0,1,0,RALF RANGNICK,3/12/2021,1/1/2100,13,0,0,0
9/11/2021,2021/2022,Manchester Utd,Newcastle Utd,1,4,1,RALF RANGNICK,3/12/2021,1/1/2100,14,0,0,0
9/19/2021,2021/2022,Manchester Utd,West Ham,0,2,1,RALF RANGNICK,3/12/2021,1/1/2100,15,0,0,0
9/25/2021,2021/2022,Manchester Utd,Aston Villa,1,0,1,RALF RANGNICK,3/12/2021,1/1/2100,16,0,0,0
10/2/2021,2021/2022,Manchester Utd,Everton,1,1,1,RALF RANGNICK,3/12/2021,1/1/2100,17,0,0,0
10/16/2021,2021/2022,Manchester Utd,Leicester City,0,2,4,RALF RANGNICK,3/12/2021,1/1/2100,18,0,0,0
10/24/2021,2021/2022,Manchester Utd,Liverpool,1,0,5,RALF RANGNICK,3/12/2021,1/1/2100,19,0,0,0
10/30/2021,2021/2022,Manchester Utd,Tottenham,0,3,0,RALF RANGNICK,3/12/2021,1/1/2100,20,0,0,0
11/6/2021,2021/2022,Manchester Utd,Manchester City,1,0,2,RALF RANGNICK,3/12/2021,1/1/2100,21,0,0,0
11/20/2021,2021/2022,Manchester Utd,Watford,0,1,4,RALF RANGNICK,3/12/2021,1/1/2100,22,0,0,0
11/28/2021,2021/2022,Manchester Utd,Chelsea,0,1,1,RALF RANGNICK,3/12/2021,1/1/2100,23,0,0,0
12/2/2021,2021/2022,Manchester Utd,Arsenal,1,3,2,RALF RANGNICK,3/12/2021,1/1/2100,24,0,0,0
12/5/2021,2021/2022,Manchester Utd,Crystal Palace,1,1,0,RALF RANGNICK,3/12/2021,1/1/2100,25,0,0,0
12/11/2021,2021/2022,Manchester Utd,Norwich City,0,1,0,RALF RANGNICK,3/12/2021,1/1/2100,26,0,0,0
12/27/2021,2021/2022,Manchester Utd,Newcastle Utd,0,1,1,RALF RANGNICK,3/12/2021,1/1/2100,27,0,0,0
12/30/2021,2021/2022,Manchester Utd,Burnley,1,3,1,RALF RANGNICK,3/12/2021,1/1/2100,28,0,0,0
1/3/2022,2021/2022,Manchester Utd,Wolves,1,0,1,RALF RANGNICK,3/12/2021,1/1/2100,29,0,0,0
8/17/2014,2014/2015,Newcastle Utd,Manchester City,1,0,2,ALAN PARDEW,9/12/2010,1/1/2100,101,0,0,0
8/23/2014,2014/2015,Newcastle Utd,Aston Villa,0,0,0,ALAN PARDEW,9/12/2010,1/1/2100,102,0,0,0
8/30/2014,2014/2015,Newcastle Utd,Crystal Palace,1,3,3,ALAN PARDEW,9/12/2010,1/1/2100,103,0,0,0
9/13/2014,2014/2015,Newcastle Utd,Southampton,0,0,4,ALAN PARDEW,9/12/2010,1/1/2100,104,0,0,0
9/20/2014,2014/2015,Newcastle Utd,Hull City,1,2,2,ALAN PARDEW,9/12/2010,1/1/2100,105,0,0,0
9/29/2014,2014/2015,Newcastle Utd,Stoke City,0,0,1,ALAN PARDEW,9/12/2010,1/1/2100,106,0,0,0
10/4/2014,2014/2015,Newcastle Utd,Swansea City,0,2,2,ALAN PARDEW,9/12/2010,1/1/2100,107,0,0,0
10/18/2014,2014/2015,Newcastle Utd,Leicester City,1,1,0,ALAN PARDEW,9/12/2010,1/1/2100,108,0,0,0
10/26/2014,2014/2015,Newcastle Utd,Tottenham,0,2,1,ALAN PARDEW,9/12/2010,1/1/2100,109,0,0,0
11/1/2014,2014/2015,Newcastle Utd,Liverpool,1,1,0,ALAN PARDEW,9/12/2010,1/1/2100,110,0,0,0
11/9/2014,2014/2015,Newcastle Utd,West Brom,0,2,0,ALAN PARDEW,9/12/2010,1/1/2100,111,0,0,0
11/22/2014,2014/2015,Newcastle Utd,QPR,1,1,0,ALAN PARDEW,9/12/2010,1/1/2100,112,0,0,0
11/29/2014,2014/2015,Newcastle Utd,West Ham,0,0,1,ALAN PARDEW,9/12/2010,1/1/2100,113,0,0,0
12/2/2014,2014/2015,Newcastle Utd,Burnley,0,1,1,ALAN PARDEW,9/12/2010,1/1/2100,114,0,0,0
12/6/2014,2014/2015,Newcastle Utd,Chelsea,1,2,1,ALAN PARDEW,9/12/2010,1/1/2100,115,0,0,0
12/13/2014,2014/2015,Newcastle Utd,Arsenal,0,1,4,ALAN PARDEW,9/12/2010,1/1/2100,116,0,0,0
12/21/2014,2014/2015,Newcastle Utd,Sunderland,1,0,1,ALAN PARDEW,9/12/2010,1/1/2100,117,0,0,0
12/26/2014,2014/2015,Newcastle Utd,Manchester Utd,0,1,3,ALAN PARDEW,9/12/2010,1/1/2100,118,0,0,0
12/28/2014,2014/2015,Newcastle Utd,Everton,1,3,2,ALAN PARDEW,9/12/2010,1/1/2100,119,0,0,0
9/14/2015,2015/2016,Newcastle Utd,West Ham,0,0,2,ALAN PARDEW,9/12/2010,1/1/2100,120,0,0,0
9/19/2015,2015/2016,Newcastle Utd,Watford,1,1,2,ALAN PARDEW,9/12/2010,1/1/2100,121,0,0,0
9/26/2015,2015/2016,Newcastle Utd,Chelsea,1,2,2,ALAN PARDEW,9/12/2010,1/1/2100,122,0,0,0
10/3/2015,2015/2016,Newcastle Utd,Manchester City,0,1,6,ALAN PARDEW,9/12/2010,1/1/2100,123,0,0,0
8/15/2021,2021/2022,Newcastle Utd,West Ham,1,2,4,EDDIE HOWE,8/7/2021,1/1/2100,1,1,0,0
8/21/2021,2021/2022,Newcastle Utd,Aston Villa,0,0,2,EDDIE HOWE,8/7/2021,1/1/2100,2,1,0,0
8/28/2021,2021/2022,Newcastle Utd,Southampton,1,2,2,EDDIE HOWE,8/7/2021,1/1/2100,3,1,0,0
9/11/2021,2021/2022,Newcastle Utd,Manchester Utd,0,1,4,EDDIE HOWE,8/7/2021,1/1/2100,4,0,1,0
9/17/2021,2021/2022,Newcastle Utd,Leeds United,1,1,1,EDDIE HOWE,8/7/2021,1/1/2100,5,0,1,0
9/25/2021,2021/2022,Newcastle Utd,Watford,0,1,1,EDDIE HOWE,8/7/2021,1/1/2100,6,0,1,0
10/2/2021,2021/2022,Newcastle Utd,Wolves,0,1,2,EDDIE HOWE,8/7/2021,1/1/2100,7,0,0,1
10/17/2021,2021/2022,Newcastle Utd,Tottenham,1,2,3,EDDIE HOWE,8/7/2021,1/1/2100,8,0,0,1
10/23/2021,2021/2022,Newcastle Utd,Crystal Palace,0,1,1,EDDIE HOWE,8/7/2021,1/1/2100,9,0,0,1
10/30/2021,2021/2022,Newcastle Utd,Chelsea,1,0,3,EDDIE HOWE,8/7/2021,1/1/2100,10,0,0,1
11/6/2021,2021/2022,Newcastle Utd,Brighton,0,1,1,EDDIE HOWE,8/7/2021,1/1/2100,11,0,0,0
11/20/2021,2021/2022,Newcastle Utd,Brentford,1,3,3,EDDIE HOWE,8/7/2021,1/1/2100,12,0,0,0
11/27/2021,2021/2022,Newcastle Utd,Arsenal,0,0,2,EDDIE HOWE,8/7/2021,1/1/2100,13,0,0,0
11/30/2021,2021/2022,Newcastle Utd,Norwich City,1,1,1,EDDIE HOWE,8/7/2021,1/1/2100,14,0,0,0
12/4/2021,2021/2022,Newcastle Utd,Burnley,1,1,0,EDDIE HOWE,8/7/2021,1/1/2100,15,0,0,0
12/12/2021,2021/2022,Newcastle Utd,Leicester City,0,0,4,EDDIE HOWE,8/7/2021,1/1/2100,16,0,0,0
12/16/2021,2021/2022,Newcastle Utd,Liverpool,0,1,3,EDDIE HOWE,8/7/2021,1/1/2100,17,0,0,0
12/19/2021,2021/2022,Newcastle Utd,Manchester City,1,0,4,EDDIE HOWE,8/7/2021,1/1/2100,18,0,0,0
12/27/2021,2021/2022,Newcastle Utd,Manchester Utd,1,1,1,EDDIE HOWE,8/7/2021,1/1/2100,19,0,0,0
1/15/2022,2021/2022,Newcastle Utd,Watford,1,1,1,EDDIE HOWE,8/7/2021,1/1/2100,20,0,0,0
1/22/2022,2021/2022,Newcastle Utd,Leeds United,0,1,0,EDDIE HOWE,8/7/2021,1/1/2100,21,0,0,0
2/8/2022,2021/2022,Newcastle Utd,Everton,1,3,1,EDDIE HOWE,8/7/2021,1/1/2100,22,0,0,0
2/13/2022,2021/2022,Newcastle Utd,Aston Villa,1,1,0,EDDIE HOWE,8/7/2021,1/1/2100,23,0,0,0
2/19/2022,2021/2022,Newcastle Utd,West Ham,0,1,1,EDDIE HOWE,8/7/2021,1/1/2100,24,0,0,0
2/26/2022,2021/2022,Newcastle Utd,Brentford,0,2,0,EDDIE HOWE,8/7/2021,1/1/2100,25,0,0,0
3/5/2022,2021/2022,Newcastle Utd,Brighton,1,2,1,EDDIE HOWE,8/7/2021,1/1/2100,26,0,0,0
3/10/2022,2021/2022,Newcastle Utd,Southampton,0,2,1,EDDIE HOWE,8/7/2021,1/1/2100,27,0,0,0
3/13/2022,2021/2022,Newcastle Utd,Chelsea,0,0,1,EDDIE HOWE,8/7/2021,1/1/2100,28,0,0,0
3/17/2022,2021/2022,Newcastle Utd,Everton,0,0,1,EDDIE HOWE,8/7/2021,1/1/2100,29,0,0,0
4/3/2022,2021/2022,Newcastle Utd,Tottenham,0,1,5,EDDIE HOWE,8/7/2021,1/1/2100,30,0,0,0
4/8/2022,2021/2022,Newcastle Utd,Wolves,1,1,0,EDDIE HOWE,8/7/2021,1/1/2100,31,0,0,0
4/17/2022,2021/2022,Newcastle Utd,Leicester City,1,2,1,EDDIE HOWE,8/7/2021,1/1/2100,32,0,0,0
4/20/2022,2021/2022,Newcastle Utd,Crystal Palace,1,1,0,EDDIE HOWE,8/7/2021,1/1/2100,33,0,0,0
4/23/2022,2021/2022,Newcastle Utd,Norwich City,0,3,0,EDDIE HOWE,8/7/2021,1/1/2100,34,0,0,0
4/30/2022,2021/2022,Newcastle Utd,Liverpool,1,0,1,EDDIE HOWE,8/7/2021,1/1/2100,35,0,0,0
5/8/2022,2021/2022,Newcastle Utd,Manchester City,0,0,5,EDDIE HOWE,8/7/2021,1/1/2100,36,0,0,0
5/16/2022,2021/2022,Newcastle Utd,Arsenal,1,2,0,EDDIE HOWE,8/7/2021,1/1/2100,37,0,0,0
5/22/2022,2021/2022,Newcastle Utd,Burnley,0,2,1,EDDIE HOWE,8/7/2021,1/1/2100,38,0,0,0
8/6/2022,2022/2023,Newcastle Utd,Nott'ham Forest,1,2,0,EDDIE HOWE,8/7/2021,1/1/2100,39,0,0,0
8/13/2022,2022/2023,Newcastle Utd,Brighton,0,0,0,EDDIE HOWE,8/7/2021,1/1/2100,40,0,0,0
8/21/2022,2022/2023,Newcastle Utd,Manchester City,1,3,3,EDDIE HOWE,8/7/2021,1/1/2100,41,0,0,0
8/28/2022,2022/2023,Newcastle Utd,Wolves,0,1,1,EDDIE HOWE,8/7/2021,1/1/2100,42,0,0,0
8/31/2022,2022/2023,Newcastle Utd,Liverpool,0,1,2,EDDIE HOWE,8/7/2021,1/1/2100,43,0,0,0
9/3/2022,2022/2023,Newcastle Utd,Crystal Palace,1,0,0,EDDIE HOWE,8/7/2021,1/1/2100,44,0,0,0
9/17/2022,2022/2023,Newcastle Utd,Bournemouth,1,1,1,EDDIE HOWE,8/7/2021,1/1/2100,45,0,0,0
10/1/2022,2022/2023,Newcastle Utd,Fulham,0,4,1,EDDIE HOWE,8/7/2021,1/1/2100,46,0,0,0
10/8/2022,2022/2023,Newcastle Utd,Brentford,1,5,1,EDDIE HOWE,8/7/2021,1/1/2100,47,0,0,0
10/16/2022,2022/2023,Newcastle Utd,Manchester Utd,0,0,0,EDDIE HOWE,8/7/2021,1/1/2100,48,0,0,0
10/19/2022,2022/2023,Newcastle Utd,Everton,1,1,0,EDDIE HOWE,8/7/2021,1/1/2100,49,0,0,0
10/23/2022,2022/2023,Newcastle Utd,Tottenham,0,2,1,EDDIE HOWE,8/7/2021,1/1/2100,50,0,0,0
10/29/2022,2022/2023,Newcastle Utd,Aston Villa,1,4,0,EDDIE HOWE,8/7/2021,1/1/2100,51,0,0,0
11/6/2022,2022/2023,Newcastle Utd,Southampton,0,4,1,EDDIE HOWE,8/7/2021,1/1/2100,52,0,0,0
11/12/2022,2022/2023,Newcastle Utd,Chelsea,1,1,0,EDDIE HOWE,8/7/2021,1/1/2100,53,0,0,0
12/26/2022,2022/2023,Newcastle Utd,Leicester City,0,3,0,EDDIE HOWE,8/7/2021,1/1/2100,54,0,0,0
12/31/2022,2022/2023,Newcastle Utd,Leeds United,1,0,0,EDDIE HOWE,8/7/2021,1/1/2100,55,0,0,0
1/3/2023,2022/2023,Newcastle Utd,Arsenal,0,0,0,EDDIE HOWE,8/7/2021,1/1/2100,56,0,0,0
1/15/2023,2022/2023,Newcastle Utd,Fulham,1,1,0,EDDIE HOWE,8/7/2021,1/1/2100,57,0,0,0
1/21/2023,2022/2023,Newcastle Utd,Crystal Palace,0,0,0,EDDIE HOWE,8/7/2021,1/1/2100,58,0,0,0
2/4/2023,2022/2023,Newcastle Utd,West Ham,1,1,1,EDDIE HOWE,8/7/2021,1/1/2100,59,0,0,0
2/11/2023,2022/2023,Newcastle Utd,Bournemouth,0,1,1,EDDIE HOWE,8/7/2021,1/1/2100,60,0,0,0
2/18/2023,2022/2023,Newcastle Utd,Liverpool,1,0,2,EDDIE HOWE,8/7/2021,1/1/2100,61,0,0,0
3/4/2023,2022/2023,Newcastle Utd,Manchester City,0,0,2,EDDIE HOWE,8/7/2021,1/1/2100,62,0,0,0
3/12/2023,2022/2023,Newcastle Utd,Wolves,1,2,1,EDDIE HOWE,8/7/2021,1/1/2100,63,0,0,0
3/17/2023,2022/2023,Newcastle Utd,Nott'ham Forest,0,2,1,EDDIE HOWE,8/7/2021,1/1/2100,64,0,0,0
4/2/2023,2022/2023,Newcastle Utd,Manchester Utd,1,2,0,EDDIE HOWE,8/7/2021,1/1/2100,65,0,0,0
4/5/2023,2022/2023,Newcastle Utd,West Ham,0,5,1,EDDIE HOWE,8/7/2021,1/1/2100,66,0,0,0
4/8/2023,2022/2023,Newcastle Utd,Brentford,0,2,1,EDDIE HOWE,8/7/2021,1/1/2100,67,0,0,0
4/15/2023,2022/2023,Newcastle Utd,Aston Villa,0,0,3,EDDIE HOWE,8/7/2021,1/1/2100,68,0,0,0
4/23/2023,2022/2023,Newcastle Utd,Tottenham,1,6,1,EDDIE HOWE,8/7/2021,1/1/2100,69,0,0,0
4/27/2023,2022/2023,Newcastle Utd,Everton,0,4,1,EDDIE HOWE,8/7/2021,1/1/2100,70,0,0,0
4/30/2023,2022/2023,Newcastle Utd,Southampton,1,3,1,EDDIE HOWE,8/7/2021,1/1/2100,71,0,0,0
5/7/2023,2022/2023,Newcastle Utd,Arsenal,1,0,2,EDDIE HOWE,8/7/2021,1/1/2100,72,0,0,0
5/13/2023,2022/2023,Newcastle Utd,Leeds United,0,2,2,EDDIE HOWE,8/7/2021,1/1/2100,73,0,0,0
5/18/2023,2022/2023,Newcastle Utd,Brighton,1,4,1,EDDIE HOWE,8/7/2021,1/1/2100,74,0,0,0
5/22/2023,2022/2023,Newcastle Utd,Leicester City,1,0,0,EDDIE HOWE,8/7/2021,1/1/2100,75,0,0,0
5/28/2023,2022/2023,Newcastle Utd,Chelsea,0,1,1,EDDIE HOWE,8/7/2021,1/1/2100,76,0,0,0
8/12/2023,2023/2024,Newcastle Utd,Aston Villa,1,5,1,EDDIE HOWE,8/7/2021,1/1/2100,77,0,0,0
8/19/2023,2023/2024,Newcastle Utd,Manchester City,0,0,1,EDDIE HOWE,8/7/2021,1/1/2100,78,0,0,0
8/27/2023,2023/2024,Newcastle Utd,Liverpool,1,1,2,EDDIE HOWE,8/7/2021,1/1/2100,79,0,0,0
9/2/2023,2023/2024,Newcastle Utd,Brighton,0,1,3,EDDIE HOWE,8/7/2021,1/1/2100,80,0,0,0
9/16/2023,2023/2024,Newcastle Utd,Brentford,1,1,0,EDDIE HOWE,8/7/2021,1/1/2100,81,0,0,0
9/24/2023,2023/2024,Newcastle Utd,Sheffield Utd,0,8,0,EDDIE HOWE,8/7/2021,1/1/2100,82,0,0,0
9/30/2023,2023/2024,Newcastle Utd,Burnley,1,2,0,EDDIE HOWE,8/7/2021,1/1/2100,83,0,0,0
10/8/2023,2023/2024,Newcastle Utd,West Ham,0,2,2,EDDIE HOWE,8/7/2021,1/1/2100,84,0,0,0
10/21/2023,2023/2024,Newcastle Utd,Crystal Palace,1,4,0,EDDIE HOWE,8/7/2021,1/1/2100,85,0,0,0
10/28/2023,2023/2024,Newcastle Utd,Wolves,0,2,2,EDDIE HOWE,8/7/2021,1/1/2100,86,0,0,0
11/4/2023,2023/2024,Newcastle Utd,Arsenal,1,1,0,EDDIE HOWE,8/7/2021,1/1/2100,87,0,0,0
11/11/2023,2023/2024,Newcastle Utd,Bournemouth,0,0,2,EDDIE HOWE,8/7/2021,1/1/2100,88,0,0,0
11/25/2023,2023/2024,Newcastle Utd,Chelsea,1,4,1,EDDIE HOWE,8/7/2021,1/1/2100,89,0,0,0
12/2/2023,2023/2024,Newcastle Utd,Manchester Utd,1,1,0,EDDIE HOWE,8/7/2021,1/1/2100,90,0,0,0
12/7/2023,2023/2024,Newcastle Utd,Everton,0,0,3,EDDIE HOWE,8/7/2021,1/1/2100,91,0,0,0
12/10/2023,2023/2024,Newcastle Utd,Tottenham,0,1,4,EDDIE HOWE,8/7/2021,1/1/2100,92,0,0,0
12/16/2023,2023/2024,Newcastle Utd,Fulham,1,3,0,EDDIE HOWE,8/7/2021,1/1/2100,93,0,0,0
12/23/2023,2023/2024,Newcastle Utd,Luton Town,0,0,1,EDDIE HOWE,8/7/2021,1/1/2100,94,0,0,0
12/26/2023,2023/2024,Newcastle Utd,Nott'ham Forest,1,1,3,EDDIE HOWE,8/7/2021,1/1/2100,95,0,0,0
1/1/2024,2023/2024,Newcastle Utd,Liverpool,0,2,4,EDDIE HOWE,8/7/2021,1/1/2100,96,0,0,0
1/13/2024,2023/2024,Newcastle Utd,Manchester City,1,2,3,EDDIE HOWE,8/7/2021,1/1/2100,97,0,0,0
1/30/2024,2023/2024,Newcastle Utd,Aston Villa,0,3,1,EDDIE HOWE,8/7/2021,1/1/2100,98,0,0,0
2/3/2024,2023/2024,Newcastle Utd,Luton Town,1,4,4,EDDIE HOWE,8/7/2021,1/1/2100,99,0,0,0
